sector,subsector
BANKING,BANKING
BANKING,FINTECH
E-COMMERCE,ONLINE STORES
HEALTHCARE,PRIVATE HEALTH INSTITUTION
HEALTHCARE,PUBLIC HEALTH INSTITUTION
HOSPITALITY,"HOTELS, PARKS, RESORTS"
HOSPITALITY,LOUNGES AND EATERIES
INSURANCE,GENERAL INSURANCE
INSURANCE,HEALTH MANAGEMENT ORGANIZATION
PUBLIC SECTOR,EMBASSIES & MISSIONS ABROAD
PUBLIC SECTOR,GOVERNMENT MINISTRIES & AGENCIES
REAL ESTATE,REAL ESTATE COMPANIES
SPORTS/GAMING,BETTING
TELECOMMUNICATIONS,GSM
TELECOMMUNICATIONS,ISP
TRANSPORTATION,AVIATION
TRANSPORTATION,INTER-STATE
TRANSPORTATION,INTRA-CITY
UNIVERSITIES,OTHERS
UNIVERSITIES,PRIVATE UNIVERSITIES
UNIVERSITIES,PUBLIC UNIVERSITIES
