company_id,comp_inte_with,sect,sector_name
COMP_00001,11:45 RESTAURANT,9,HOSPITALITY
COMP_00002,1XBET NIGERIA (1XBET),634,SPORTS/ ENTERTAINMENT
COMP_00003,24 ELEVEN,7,E-COMMERCE
COMP_00004,247 APARTMENTS,632,REAL ESTATE
COMP_00005,3 J'S HOTEL ABUJA,9,HOSPITALITY
COMP_00006,3C HUB,7,E-COMMERCE
COMP_00007,9MOBILE,2,TELECOMMUNICATIONS
COMP_00008,@BERNAKIKS_WEARS,7,E-COMMERCE
COMP_00009,A.J DAN PULLO TRANSPORT SERVICE NIG. L.T.D,5,TRANSPORTATION
COMP_00010,ABA POWER LIMITED,6,POWER
COMP_00011,ABC CARGO EXPRESS,5,TRANSPORTATION
COMP_00012,ABC TRANSPORT,5,TRANSPORTATION
COMP_00013,ABEGI,9,HOSPITALITY
COMP_00014,ABEOKUTA TEACHING HOSPITAL,4,HEALTHCARE
COMP_00015,ABIA STATE POLYTECHNIC [ABIA POLY],633,EDUCATION
COMP_00016,ABIA STATE TEACHING HOSPITAL,4,HEALTHCARE
COMP_00017,ABIA STATE UNIVERSITY [ABSU],633,EDUCATION
COMP_00018,ABIGAIL GARDEN PARK,9,HOSPITALITY
COMP_00019,ABSTRACT,9,HOSPITALITY
COMP_00020,ABUBAKAR TAFAWA BALEWA UNIVERSITY TEACHING HOSPITAL,4,HEALTHCARE
COMP_00021,"ABUBAKAR TAFAWA BALEWA UNIVERSITY, BAUCHI [ATBU]",633,EDUCATION
COMP_00022,ABUJA AGENTS,632,REAL ESTATE
COMP_00023,ABUJA CONTINENTAL HOTEL,9,HOSPITALITY
COMP_00024,ABUJA ELECTRICITY DISTRIBUTION COMPANY [ABEDC],6,POWER
COMP_00025,ABUJA INTERCONTINENTAL,9,HOSPITALITY
COMP_00026,ACADEMY HOSPITAL,4,HEALTHCARE
COMP_00027,ACCESS ARM PENSIONS,1,BANKING
COMP_00028,ACCESS BANK,1,BANKING
COMP_00029,ACE REAL ESTATE,632,REAL ESTATE
COMP_00030,ADAELU ESTATE,632,REAL ESTATE
COMP_00031,ADAMAWA STATE UNIVERSITY [ADSU],633,EDUCATION
COMP_00032,ADAMAWA SUNSHINE TERMINUS,5,TRANSPORTATION
COMP_00033,ADBOND HARVEST AND HOMES,632,REAL ESTATE
COMP_00034,ADE SALM PROPERTY,632,REAL ESTATE
COMP_00035,ADEKUNLE AJASIN UNIVERSITY,633,EDUCATION
COMP_00036,ADEMOLA,4,HEALTHCARE
COMP_00037,ADENLE HOSPITAL ILESHA,4,HEALTHCARE
COMP_00038,ADEOYO HOSPITAL,4,HEALTHCARE
COMP_00039,ADONAI HOSPITAL MARAR,4,HEALTHCARE
COMP_00040,ADRON HOMES,632,REAL ESTATE
COMP_00041,AELLA MICROFINANCE BANK,1,BANKING
COMP_00042,AERO CONTRACTORS,5,TRANSPORTATION
COMP_00043,"AFE BABALOLA UNIVERSITY, EKITI [ABUAD]",633,EDUCATION
